model_id,display_name,group,category,architecture,encoder,input_mode,miou,dice,pixel_acc,params_m,train_seconds,train_minutes
dl_unet_effb0,U-Net (EfficientNet-B0),general,encoder-decoder,Unet,tu-efficientnet_b0,rgb,0.5982507886220859,0.7055355232482405,0.8059029768246077,5.836441,4.644568920135498,0.0774094820022583
dl_deeplabv3p_effb0,DeepLabV3+ (EfficientNet-B0),general,context-atrous,DeepLabV3Plus,tu-efficientnet_b0,rgb,0.590300310325304,0.7062719158361132,0.8214707086834365,4.498393,4.165714263916016,0.06942857106526693
dl_segformer_b0,SegFormer (MiT-B0),general,transformer,Segformer,mit_b0,rgb,0.588973455183981,0.708828419695474,0.8067790045286384,3.717485,5.657865762710571,0.09429776271184286
dl_unetpp_r34,U-Net++ (ResNet34),general,encoder-decoder,UnetPlusPlus,resnet34,rgb,0.5887864811760916,0.7096891975365583,0.8061453561689564,26.080349,9.62457799911499,0.16040963331858318
dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,0.5606409347944071,0.6790911162996015,0.7680182475838807,24.438109,5.8857035636901855,0.09809505939483643
dl_manet_r34,MAnet (ResNet34),general,attention,MAnet,resnet34,rgb,0.5517579333047398,0.6731863534061828,0.7624752887372924,31.785373,6.469508647918701,0.10782514413197836
dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),general,context-atrous,DeepLabV3Plus,resnet34,rgb,0.5505758025914783,0.673354996103731,0.7761801788931916,22.440541,4.440073728561401,0.0740012288093567
dl_segformer_b2,SegFormer (MiT-B2),general,transformer,Segformer,mit_b2,rgb,0.49175357005378423,0.609398170535761,0.7267028684311806,24.725453,7.834213018417358,0.13057021697362264
dl_linknet_r34,LinkNet (ResNet34),general,lightweight,Linknet,resnet34,rgb,0.47719797115535045,0.5905054063462257,0.7258475739890535,21.772333,4.402121067047119,0.07336868445078532
dl_fpn_r34,FPN (ResNet34),general,pyramid,FPN,resnet34,rgb,0.46427840335300896,0.5773725140047794,0.7070205251532563,23.156941,4.519625425338745,0.07532709042231242
dl_pspnet_r34,PSPNet (ResNet34),general,pyramid,PSPNet,resnet34,rgb,0.4345324402729247,0.5235445219372109,0.7053110859259135,21.493293,2.3646092414855957,0.039410154024759926
dl_upernet_b2,UPerNet (MiT-B2),general,transformer,UPerNet,mit_b2,rgb,0.39181733662022905,0.4988062600041081,0.622331051321123,32.530893,9.142882347106934,0.15238137245178224
dl_upernet_b0,UPerNet (MiT-B0),general,transformer,UPerNet,mit_b0,rgb,0.3559969099580714,0.44928399685749193,0.5611227962560563,10.735469,5.455730199813843,0.09092883666356405
dl_deeplabv3_r34,DeepLabV3 (ResNet34),general,context-atrous,DeepLabV3,resnet34,rgb,0.31655231910492115,0.372019425242412,0.6508884986631569,26.010189,8.687752962112427,0.14479588270187377
